"epoch","hopfield_testset - _step","hopfield_testset - _step__MIN","hopfield_testset - _step__MAX","hopfield_testset - loss_to_report_val","hopfield_testset - loss_to_report_val__MIN","hopfield_testset - loss_to_report_val__MAX"
"0","0","0","0","0.3365216024323127","0.3365216024323127","0.3365216024323127"
"1","2","2","2","0.28155833566494487","0.28155833566494487","0.28155833566494487"
"2","4","4","4","0.271325635887306","0.271325635887306","0.271325635887306"
"3","6","6","6","0.2642889247279237","0.2642889247279237","0.2642889247279237"
"4","8","8","8","0.2450966072026624","0.2450966072026624","0.2450966072026624"
"5","10","10","10","0.23841617085134453","0.23841617085134453","0.23841617085134453"
"6","12","12","12","0.22439238134586895","0.22439238134586895","0.22439238134586895"
"7","14","14","14","0.2134404756637102","0.2134404756637102","0.2134404756637102"
"8","16","16","16","0.20685495788746552","0.20685495788746552","0.20685495788746552"
"9","18","18","18","0.21836292126000176","0.21836292126000176","0.21836292126000176"
"10","20","20","20","0.19489530105492114","0.19489530105492114","0.19489530105492114"
"11","22","22","22","0.18921286549779273","0.18921286549779273","0.18921286549779273"
"12","24","24","24","0.1890067972373023","0.1890067972373023","0.1890067972373023"
"13","26","26","26","0.1832111107827457","0.1832111107827457","0.1832111107827457"
"14","28","28","28","0.17344805216393935","0.17344805216393935","0.17344805216393935"
"15","30","30","30","0.1735934851296585","0.1735934851296585","0.1735934851296585"
"16","32","32","32","0.17295978659403471","0.17295978659403471","0.17295978659403471"
"17","34","34","34","0.17094108030510372","0.17094108030510372","0.17094108030510372"
"18","36","36","36","0.17907893536143596","0.17907893536143596","0.17907893536143596"
"19","38","38","38","0.16467153118505565","0.16467153118505565","0.16467153118505565"
"20","40","40","40","0.1649304913362803","0.1649304913362803","0.1649304913362803"
"21","42","42","42","0.15810809568131415","0.15810809568131415","0.15810809568131415"
"22","44","44","44","0.1598241166676123","0.1598241166676123","0.1598241166676123"
"23","46","46","46","0.15769947604201073","0.15769947604201073","0.15769947604201073"
"24","48","48","48","0.15300448716820006","0.15300448716820006","0.15300448716820006"
"25","50","50","50","0.15017730878843732","0.15017730878843732","0.15017730878843732"
"26","52","52","52","0.15331719847220956","0.15331719847220956","0.15331719847220956"
"27","54","54","54","0.15240361546774467","0.15240361546774467","0.15240361546774467"
"28","56","56","56","0.14653530948743254","0.14653530948743254","0.14653530948743254"
"29","58","58","58","0.14843503346701992","0.14843503346701992","0.14843503346701992"
"30","60","60","60","0.14864315690967425","0.14864315690967425","0.14864315690967425"
"31","62","62","62","0.14495052325938265","0.14495052325938265","0.14495052325938265"
"32","64","64","64","0.14230762244112433","0.14230762244112433","0.14230762244112433"
"33","66","66","66","0.14425894467165762","0.14425894467165762","0.14425894467165762"
"34","68","68","68","0.14567940717877756","0.14567940717877756","0.14567940717877756"
"35","70","70","70","0.14295087752896313","0.14295087752896313","0.14295087752896313"
"36","72","72","72","0.14427248197690362","0.14427248197690362","0.14427248197690362"
"37","74","74","74","0.14162200298934358","0.14162200298934358","0.14162200298934358"
"38","76","76","76","0.14154533236722822","0.14154533236722822","0.14154533236722822"
"39","78","78","78","0.13985202806647154","0.13985202806647154","0.13985202806647154"
"40","80","80","80","0.14080999435106883","0.14080999435106883","0.14080999435106883"
"41","82","82","82","0.1423420399688913","0.1423420399688913","0.1423420399688913"
"42","84","84","84","0.13994140682407855","0.13994140682407855","0.13994140682407855"
"43","86","86","86","0.13683053770049652","0.13683053770049652","0.13683053770049652"
"44","88","88","88","0.1390232167331155","0.1390232167331155","0.1390232167331155"
"45","90","90","90","0.1364339212884597","0.1364339212884597","0.1364339212884597"
"46","92","92","92","0.13885702010120177","0.13885702010120177","0.13885702010120177"
"47","94","94","94","0.14002349196276828","0.14002349196276828","0.14002349196276828"
"48","96","96","96","0.13729727897777905","0.13729727897777905","0.13729727897777905"
"49","98","98","98","0.1392348750908559","0.1392348750908559","0.1392348750908559"
"50","100","100","100","0.13659516187063475","0.13659516187063475","0.13659516187063475"
"51","102","102","102","0.13572727635105936","0.13572727635105936","0.13572727635105936"
"52","104","104","104","0.13456788173372805","0.13456788173372805","0.13456788173372805"
"53","106","106","106","0.13682202238098518","0.13682202238098518","0.13682202238098518"
"54","108","108","108","0.1379802716691905","0.1379802716691905","0.1379802716691905"
"55","110","110","110","0.136025522368731","0.136025522368731","0.136025522368731"
"56","112","112","112","0.13177229029986862","0.13177229029986862","0.13177229029986862"
"57","114","114","114","0.1328590225888194","0.1328590225888194","0.1328590225888194"
"58","116","116","116","0.13454832927935403","0.13454832927935403","0.13454832927935403"
"59","118","118","118","0.13543818594781265","0.13543818594781265","0.13543818594781265"
"60","120","120","120","0.13361919448717535","0.13361919448717535","0.13361919448717535"
"61","122","122","122","0.13261001672833161","0.13261001672833161","0.13261001672833161"
"62","124","124","124","0.1367881195674856","0.1367881195674856","0.1367881195674856"
"63","126","126","126","0.13716355071958128","0.13716355071958128","0.13716355071958128"
"64","128","128","128","0.13071558639229006","0.13071558639229006","0.13071558639229006"
"65","130","130","130","0.13251595115217624","0.13251595115217624","0.13251595115217624"
"66","132","132","132","0.13388097532996937","0.13388097532996937","0.13388097532996937"
"67","134","134","134","0.13182263314802722","0.13182263314802722","0.13182263314802722"
"68","136","136","136","0.1319267952182863","0.1319267952182863","0.1319267952182863"
"69","138","138","138","0.1318806581683774","0.1318806581683774","0.1318806581683774"
"70","140","140","140","0.13393004538527506","0.13393004538527506","0.13393004538527506"
"71","142","142","142","0.13075200499027392","0.13075200499027392","0.13075200499027392"
"72","144","144","144","0.1318458156527556","0.1318458156527556","0.1318458156527556"
"73","146","146","146","0.12942880382366548","0.12942880382366548","0.12942880382366548"
"74","148","148","148","0.13258515978949562","0.13258515978949562","0.13258515978949562"
"75","150","150","150","0.1311888716091333","0.1311888716091333","0.1311888716091333"
"76","152","152","152","0.13171597854843192","0.13171597854843192","0.13171597854843192"
"77","154","154","154","0.12871956998008569","0.12871956998008569","0.12871956998008569"
"78","156","156","156","0.13140334590601235","0.13140334590601235","0.13140334590601235"
"79","158","158","158","0.13243478397904554","0.13243478397904554","0.13243478397904554"
"80","160","160","160","0.12910674931883884","0.12910674931883884","0.12910674931883884"
"81","162","162","162","0.1301854647485589","0.1301854647485589","0.1301854647485589"
"82","164","164","164","0.1312664433394743","0.1312664433394743","0.1312664433394743"
"83","166","166","166","0.13228568853629705","0.13228568853629705","0.13228568853629705"
"84","168","168","168","0.13257864208179723","0.13257864208179723","0.13257864208179723"
"85","170","170","170","0.13396225309969825","0.13396225309969825","0.13396225309969825"
"86","172","172","172","0.1305507058424598","0.1305507058424598","0.1305507058424598"
"87","174","174","174","0.13047927112328211","0.13047927112328211","0.13047927112328211"
"88","176","176","176","0.13222553789377547","0.13222553789377547","0.13222553789377547"
"89","178","178","178","0.13015443629783127","0.13015443629783127","0.13015443629783127"
"90","180","180","180","0.1305744630748628","0.1305744630748628","0.1305744630748628"
"91","182","182","182","0.13096243125812515","0.13096243125812515","0.13096243125812515"
"92","184","184","184","0.1305635513632322","0.1305635513632322","0.1305635513632322"
"93","186","186","186","0.13273264602203563","0.13273264602203563","0.13273264602203563"
"94","188","188","188","0.1309647618446733","0.1309647618446733","0.1309647618446733"
"95","190","190","190","0.13109139379071322","0.13109139379071322","0.13109139379071322"
"96","192","192","192","0.12905756601294532","0.12905756601294532","0.12905756601294532"
"97","194","194","194","0.1295694085426878","0.1295694085426878","0.1295694085426878"
"98","196","196","196","0.13191269313185905","0.13191269313185905","0.13191269313185905"
"99","198","198","198","0.12805526646676987","0.12805526646676987","0.12805526646676987"
"100","200","200","200","0.13082824052230513","0.13082824052230513","0.13082824052230513"
"101","202","202","202","0.12775640885684605","0.12775640885684605","0.12775640885684605"
"102","204","204","204","0.12876758061349367","0.12876758061349367","0.12876758061349367"
"103","206","206","206","0.12891470210314537","0.12891470210314537","0.12891470210314537"
"104","208","208","208","0.1307946835454784","0.1307946835454784","0.1307946835454784"
"105","210","210","210","0.1306154428345628","0.1306154428345628","0.1306154428345628"
"106","212","212","212","0.12950998440603917","0.12950998440603917","0.12950998440603917"
"107","214","214","214","0.1299622094500181","0.1299622094500181","0.1299622094500181"
"108","216","216","216","0.12938533542435757","0.12938533542435757","0.12938533542435757"
"109","218","218","218","0.13029409932414765","0.13029409932414765","0.13029409932414765"
"110","220","220","220","0.13084514394730887","0.13084514394730887","0.13084514394730887"
"111","222","222","222","0.13034030792749648","0.13034030792749648","0.13034030792749648"
"112","224","224","224","0.12847373110654692","0.12847373110654692","0.12847373110654692"
"113","226","226","226","0.13064937683326938","0.13064937683326938","0.13064937683326938"
"114","228","228","228","0.12897246162519144","0.12897246162519144","0.12897246162519144"
"115","230","230","230","0.1297001792018952","0.1297001792018952","0.1297001792018952"
"116","232","232","232","0.13014891875923096","0.13014891875923096","0.13014891875923096"
"117","234","234","234","0.12884949606809018","0.12884949606809018","0.12884949606809018"
"118","236","236","236","0.13034218597375835","0.13034218597375835","0.13034218597375835"
"119","238","238","238","0.13032690604050615","0.13032690604050615","0.13032690604050615"
"120","240","240","240","0.13135614889620895","0.13135614889620895","0.13135614889620895"
"121","242","242","242","0.12847324983431405","0.12847324983431405","0.12847324983431405"
"122","244","244","244","0.13065827994791976","0.13065827994791976","0.13065827994791976"
"123","246","246","246","0.13103385520027588","0.13103385520027588","0.13103385520027588"
"124","248","248","248","0.12919152245170196","0.12919152245170196","0.12919152245170196"
"125","250","250","250","0.12934009699397822","0.12934009699397822","0.12934009699397822"
"126","252","252","252","0.13090533605304197","0.13090533605304197","0.13090533605304197"
"127","254","254","254","0.12972374636111558","0.12972374636111558","0.12972374636111558"
"128","256","256","256","0.12921358817420944","0.12921358817420944","0.12921358817420944"
"129","258","258","258","0.13019190046344628","0.13019190046344628","0.13019190046344628"
"130","260","260","260","0.12994116018454585","0.12994116018454585","0.12994116018454585"
"131","262","262","262","0.12737110239199326","0.12737110239199326","0.12737110239199326"
"132","264","264","264","0.1300880216451361","0.1300880216451361","0.1300880216451361"
"133","266","266","266","0.13044731090158954","0.13044731090158954","0.13044731090158954"
"134","268","268","268","0.12874230606118955","0.12874230606118955","0.12874230606118955"
"135","270","270","270","0.12956066983985862","0.12956066983985862","0.12956066983985862"
"136","272","272","272","0.12900600557498149","0.12900600557498149","0.12900600557498149"
"137","274","274","274","0.12812071561585395","0.12812071561585395","0.12812071561585395"
"138","276","276","276","0.12920837190999634","0.12920837190999634","0.12920837190999634"
"139","278","278","278","0.12925950061124608","0.12925950061124608","0.12925950061124608"
"140","280","280","280","0.12863637854530902","0.12863637854530902","0.12863637854530902"
